date,headline,food,transport,housing_utilities,education,health,restaurants_hotels,communication,recreation_culture,misc_goods_services,services_proxy,headline_infl_mom_pct,headline_infl_yoy_pct,food_infl_mom_pct,food_infl_yoy_pct,transport_infl_mom_pct,transport_infl_yoy_pct,housing_utilities_infl_mom_pct,housing_utilities_infl_yoy_pct,services_proxy_infl_mom_pct,services_proxy_infl_yoy_pct
2022-02-01,110.652052672347,115.567127071823,103.003185247276,104.826359447005,108.317315026697,116.780665280665,108.223563696919,101.77358490566,106.306911636046,103.827191413238,107.5382053265375,0.49342105263159297,6.076388888888573,0.7598784194529085,9.586776859503932,-0.08643042350910957,1.403508771930162,0.3738317757011611,2.285714285714602,0.05804596205625234,3.3940606392592
2022-03-01,111.46700232378,117.223066298343,103.181391450126,104.240737327189,108.4,115.019750519751,107.767693588676,103.743396226415,106.493088363955,103.920393559928,107.55738704312084,0.7364975450081745,6.764960971379019,1.4328808446461228,11.433305716653507,0.17301038062287333,0.6081668114684247,-0.5586592178774219,1.8112488083889877,0.017837118003871666,2.5222096036061847
2022-04-01,113.006351665376,119.576243093923,103.359597652976,104.826359447005,108.4,115.019750519751,108.223563696919,104.4,106.586176727909,104.10679785331,107.78938146631482,1.3809910641757739,8.145580589255452,2.007434944237807,13.388429752066422,0.17271157167535467,0.7819287576022793,0.5617977528093121,2.188392007612072,0.21569362139763903,2.6267027259055054
2022-05-01,114.09295120062,121.580801104972,103.359597652976,104.728755760369,108.4,115.099792099792,108.223563696919,104.4,107.051618547682,104.386404293381,107.92689643962899,0.9615384615384581,8.902333621435442,1.6763848396495362,14.814814814814415,0.0,0.9573542210620234,-0.09310986964624623,2.0932445290201773,0.12757747696803268,2.4424044747829443
2022-06-01,115.179550735864,123.759668508287,103.092288348701,105.41198156682,108.482684973303,115.019750519751,107.767693588676,104.4,106.4,103.920393559928,107.665087106943,0.952380952380949,9.560723514211888,1.7921146953405742,16.013071895424957,-0.2586206896552312,0.696257615317819,0.6523765144448967,2.759276879162309,-0.2425802476701766,2.2810917389572527
2022-07-01,116.9,126.2,106.3,105.9,108.4,115.5,109.5,104.4,106.4,104.2,108.06666666666666,1.4937106918236243,10.530821917808254,1.9718309859157346,17.34197730956275,3.1114952463264567,3.6490008688096154,0.46296296296322037,3.2350142721216724,0.3729895832664587,2.4448786226319186
2022-08-01,118.5,129.1,110.1,107.3,107.9,119.6,108.0,104.7,103.4,103.3,107.81666666666666,1.368691189050475,10.998286959341641,2.2979397781299538,18.1239368410945,3.5747883349012133,7.728615940311334,1.3220018885741203,4.401113057077577,-0.2313386798272643,1.80842276257982
2022-09-01,119.5,130.3,112.2,108.7,107.9,120.4,108.3,104.7,103.8,103.5,108.10000000000001,0.8438818565400741,11.180575423950877,0.9295120061967532,17.81267054558373,1.9073569482289,9.212092630864221,1.3047530288909703,5.164064304255267,0.26279177616326255,2.333226914961073
2022-10-01,121.3,132.9,112.9,111.0,108.6,120.9,108.8,103.5,104.0,104.0,108.3,1.5062761506276168,12.665429683706009,1.9953952417498089,19.97441399699045,0.623885918003575,9.703159806640315,2.1159153633854677,6.784237055952436,0.18501387604068498,2.280114424299007
2022-11-01,121.7,133.6,112.4,111.7,108.5,121.0,109.4,101.7,103.9,104.0,108.08333333333333,0.3297609233305909,12.094195975974076,0.5267118133935211,19.29233444535543,-0.44286979627989886,9.12283899780908,0.6306306306306242,6.557168053203233,-0.2000615574022757,1.470648002763686
2022-12-01,121.4,133.2,113.3,111.7,108.5,120.5,111.3,100.3,104.8,103.7,108.18333333333334,-0.24650780608052036,10.98479483794983,-0.29940119760479833,17.38225477809332,0.8007117437722311,10.091833534918916,0.0,6.656475758751479,0.09252120277565279,1.0894282752767381
2023-01-01,121.40619996661,132.468725088099,114.62641615328,112.130354198258,110.891512810945,120.499630493714,111.627076952886,99.8218493559661,105.324178542546,104.053137273194,108.70289757154184,0.0051070565156408065,10.260262480368354,-0.5490051891148484,15.495928404982529,1.1707115209885322,11.188157707360013,0.38527681133213587,7.367587395188324,0.48026273752133086,1.1417243610813532
2023-02-01,120.599466089343,131.153926222371,114.684882236917,112.217127023874,111.099445352298,119.48226746234,111.869341974972,97.7035309456551,105.387802970306,104.100777335046,108.27386100676951,-0.6644914983657157,8.989813723972562,-0.992535305864517,13.487225602537546,0.05100576777941068,11.34110266745363,0.07738566977375516,7.050485789888938,-0.3946873306573728,0.6840877416525615
2023-03-01,120.623737619567,130.700539365702,115.379637750107,112.524425461696,111.099445352298,119.940663233951,112.347779306538,98.2995479274937,106.071809913987,104.664542266962,108.73729800020494,0.020125736050946585,8.214749750952555,-0.3456906474155308,11.497287601279481,0.6057952012844758,11.822137818210333,0.2738427243433428,7.94668989006313,0.42802296798714057,1.0970059700418977
2023-04-01,120.509176286033,129.788392231368,118.399251305038,112.572541334327,111.407311874013,119.51128852839,113.594141904909,98.2970649278856,106.525443032144,105.562404468832,109.14960912269561,-0.09497412018131257,6.6392946149378185,-0.6978908723412558,8.540282645795871,2.6171113151447045,14.550805143956524,0.04276038063164567,7.389536303832123,0.3791809526937806,1.2619310342789847
